year,geo_name,geo,income
2015,"Census Tract 45.01","14000US06073004501",43712.0
2013,"Census Tract 83.33","14000US06073008333",138201.0
2014,"Census Tract 83.33","14000US06073008333",140960.0
2015,"Census Tract 83.33","14000US06073008333",138993.0
2013,"Census Tract 83.46","14000US06073008346",132281.0
2014,"Census Tract 83.46","14000US06073008346",132632.0
2015,"Census Tract 83.46","14000US06073008346",134421.0
2013,"Census Tract 94","14000US06073009400",51875.0
2014,"Census Tract 94","14000US06073009400",51981.0
2015,"Census Tract 94","14000US06073009400",53173.0
2013,"Census Tract 83.24","14000US06073008324",123304.0
2014,"Census Tract 83.24","14000US06073008324",136985.0
2015,"Census Tract 83.24","14000US06073008324",129904.0
2013,"Census Tract 83.12","14000US06073008312",123785.0
2014,"Census Tract 83.12","14000US06073008312",121319.0
2015,"Census Tract 83.12","14000US06073008312",119896.0
2013,"Census Tract 83.11","14000US06073008311",154881.0
2014,"Census Tract 83.11","14000US06073008311",160694.0
2015,"Census Tract 83.11","14000US06073008311",152250.0
2013,"Census Tract 46","14000US06073004600",44000.0
2014,"Census Tract 46","14000US06073004600",48750.0
2015,"Census Tract 46","14000US06073004600",50523.0
2013,"Census Tract 1","14000US06073000100",113000.0
2014,"Census Tract 1","14000US06073000100",106406.0
2015,"Census Tract 1","14000US06073000100",125370.0
2013,"Census Tract 170.30","14000US06073017030",133928.0
2014,"Census Tract 170.30","14000US06073017030",135755.0
2015,"Census Tract 170.30","14000US06073017030",130597.0
2013,"Census Tract 173.06","14000US06073017306",130114.0
2014,"Census Tract 173.06","14000US06073017306",126250.0
2015,"Census Tract 173.06","14000US06073017306",120167.0
2013,"Census Tract 83.50","14000US06073008350",99688.0
2014,"Census Tract 83.50","14000US06073008350",100950.0
2015,"Census Tract 83.50","14000US06073008350",98710.0
2013,"Census Tract 83.39","14000US06073008339",64276.0
2014,"Census Tract 83.39","14000US06073008339",62935.0
2015,"Census Tract 83.39","14000US06073008339",55326.0
2013,"Census Tract 48","14000US06073004800",37059.0
2014,"Census Tract 48","14000US06073004800",33456.0
2015,"Census Tract 48","14000US06073004800",33405.0
2013,"Census Tract 83.65","14000US06073008365",154000.0
2014,"Census Tract 83.65","14000US06073008365",155000.0
2015,"Census Tract 83.65","14000US06073008365",154250.0
2013,"Census Tract 79.03","14000US06073007903",56961.0
2014,"Census Tract 79.03","14000US06073007903",56794.0
2015,"Census Tract 79.03","14000US06073007903",55922.0
2013,"Census Tract 43","14000US06073004300",70367.0
2014,"Census Tract 43","14000US06073004300",86845.0
2015,"Census Tract 43","14000US06073004300",71356.0
2013,"Census Tract 49","14000US06073004900",25915.0
2014,"Census Tract 49","14000US06073004900",26132.0
2015,"Census Tract 49","14000US06073004900",27619.0
2013,"Census Tract 91.02","14000US06073009102",37464.0
2014,"Census Tract 91.02","14000US06073009102",39705.0
2015,"Census Tract 91.02","14000US06073009102",36927.0
2013,"Census Tract 91.04","14000US06073009104",85815.0
2014,"Census Tract 91.04","14000US06073009104",91848.0
2015,"Census Tract 91.04","14000US06073009104",91667.0
2013,"Census Tract 91.06","14000US06073009106",62670.0
2014,"Census Tract 91.06","14000US06073009106",57601.0
2015,"Census Tract 91.06","14000US06073009106",55000.0
2013,"Census Tract 91.07","14000US06073009107",54855.0
2014,"Census Tract 91.07","14000US06073009107",55816.0
2015,"Census Tract 91.07","14000US06073009107",61179.0
2013,"Census Tract 51","14000US06073005100",25221.0
2014,"Census Tract 51","14000US06073005100",24906.0
2015,"Census Tract 51","14000US06073005100",27793.0
2013,"Census Tract 53","14000US06073005300",37338.0
2014,"Census Tract 53","14000US06073005300",48750.0
2015,"Census Tract 53","14000US06073005300",51974.0
2013,"Census Tract 54","14000US06073005400",84592.0
2014,"Census Tract 54","14000US06073005400",83154.0
2015,"Census Tract 54","14000US06073005400",85836.0
2013,"Census Tract 55","14000US06073005500",None
2014,"Census Tract 55","14000US06073005500",None
2015,"Census Tract 55","14000US06073005500",None
2013,"Census Tract 57","14000US06073005700",38147.0
2014,"Census Tract 57","14000US06073005700",32258.0
2015,"Census Tract 57","14000US06073005700",40250.0
2013,"Census Tract 92.01","14000US06073009201",61378.0
2014,"Census Tract 92.01","14000US06073009201",66648.0
2015,"Census Tract 92.01","14000US06073009201",65111.0
2013,"Census Tract 63","14000US06073006300",None
2014,"Census Tract 63","14000US06073006300",None
2015,"Census Tract 63","14000US06073006300",None
2013,"Census Tract 60","14000US06073006000",61077.0
2014,"Census Tract 60","14000US06073006000",60000.0
2015,"Census Tract 60","14000US06073006000",68063.0
2013,"Census Tract 61","14000US06073006100",61402.0
2014,"Census Tract 61","14000US06073006100",62563.0
2015,"Census Tract 61","14000US06073006100",85724.0
2013,"Census Tract 58","14000US06073005800",68371.0
2014,"Census Tract 58","14000US06073005800",78071.0
2015,"Census Tract 58","14000US06073005800",77892.0
2013,"Census Tract 79.05","14000US06073007905",55551.0
2014,"Census Tract 79.05","14000US06073007905",58710.0
2015,"Census Tract 79.05","14000US06073007905",59732.0
2013,"Census Tract 69","14000US06073006900",91023.0
2014,"Census Tract 69","14000US06073006900",80900.0
2015,"Census Tract 69","14000US06073006900",81648.0
2013,"Census Tract 70.02","14000US06073007002",117955.0
2014,"Census Tract 70.02","14000US06073007002",120294.0
2015,"Census Tract 70.02","14000US06073007002",113657.0
2013,"Census Tract 72","14000US06073007200",98977.0
2014,"Census Tract 72","14000US06073007200",113603.0
2015,"Census Tract 72","14000US06073007200",107083.0
2013,"Census Tract 73.01","14000US06073007301",58689.0
2014,"Census Tract 73.01","14000US06073007301",65608.0
2015,"Census Tract 73.01","14000US06073007301",66075.0
2013,"Census Tract 73.02","14000US06073007302",79762.0
2014,"Census Tract 73.02","14000US06073007302",106000.0
2015,"Census Tract 73.02","14000US06073007302",100000.0
2013,"Census Tract 74","14000US06073007400",62484.0
2014,"Census Tract 74","14000US06073007400",66696.0
2015,"Census Tract 74","14000US06073007400",69043.0
2013,"Census Tract 75.01","14000US06073007501",42186.0
2014,"Census Tract 75.01","14000US06073007501",47855.0
2015,"Census Tract 75.01","14000US06073007501",53506.0
2013,"Census Tract 75.02","14000US06073007502",52865.0
2014,"Census Tract 75.02","14000US06073007502",62269.0
2015,"Census Tract 75.02","14000US06073007502",62069.0
2013,"Census Tract 80.02","14000US06073008002",103229.0
2014,"Census Tract 80.02","14000US06073008002",101019.0
2015,"Census Tract 80.02","14000US06073008002",94900.0
2013,"Census Tract 81.01","14000US06073008101",85313.0
2014,"Census Tract 81.01","14000US06073008101",83859.0
2015,"Census Tract 81.01","14000US06073008101",81250.0
2013,"Census Tract 81.02","14000US06073008102",126111.0
2014,"Census Tract 81.02","14000US06073008102",124479.0
2015,"Census Tract 81.02","14000US06073008102",123050.0
