USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
CA	06031001002	3216059	0	1.242	0.	36.3196581	-119.6671974                                                                                                                                               
CA	06031001003	5454894	0	2.106	0.	36.3058649	-119.6730488                                                                                                                                               
CA	06031001100	9745964	0	3.763	0.	36.3080545	-119.6308433                                                                                                                                               
CA	06031001200	395454317	2468994	152.686	0.953	36.2324904	-119.6239493                                                                                                                                  
CA	06031001300	45574882	0	17.597	0.	36.119739	-119.5542173                                                                                                                                              
CA	06031001401	2176224	0	0.84	0.	36.0861268	-119.5624953                                                                                                                                                
CA	06031001402	1344134	0	0.519	0.	36.0990535	-119.5600632                                                                                                                                               
CA	06031001500	2958836	0	1.142	0.	36.1028669	-119.5738328                                                                                                                                               
CA	06031001601	1697540633	2116644	655.424	0.817	36.01376	-119.7891118                                                                                                                                   
CA	06031001602	5116440	0	1.975	0.	36.057953	-119.5540669                                                                                                                                                
CA	06031001701	788710880	586957	304.523	0.227	35.9068415	-120.0768232                                                                                                                                   
CA	06031981800	2045751	0	0.79	0.	35.9707414	-120.1209322                                                                                                                                                
CA	06033000100	1193827028	10910635	460.939	4.213	39.3331714	-122.898708                                                                                                                                 
CA	06033000300	98969201	5823772	38.212	2.249	39.0412302	-122.9626051                                                                                                                                    
CA	06033000400	8428309	4103771	3.254	1.584	39.050958	-122.9155905                                                                                                                                       
CA	06033000501	380075713	21035883	146.748	8.122	39.1620236	-122.7065788                                                                                                                                 
CA	06033000502	6161304	25439352	2.379	9.822	39.120886	-122.8631148                                                                                                                                      
CA	06033000600	297002403	28352706	114.673	10.947	39.081678	-122.575206                                                                                                                                  
CA	06033000701	28144903	4827078	10.867	1.864	38.985515	-122.6425345                                                                                                                                     
CA	06033000702	121403970	788646	46.874	0.304	38.9712755	-122.4323052                                                                                                                                    
CA	06033000801	2809861	724015	1.085	0.28	38.9388352	-122.6301466                                                                                                                                        
CA	06033000802	3252246	1828940	1.256	0.706	38.9565553	-122.6403151                                                                                                                                      
CA	06033000900	96560675	35310371	37.282	13.633	38.9583406	-122.7436056                                                                                                                                  
CA	06033001000	146143290	44384575	56.426	17.137	38.9890591	-122.8861893                                                                                                                                 
CA	06033001100	184132673	444115	71.094	0.171	38.8709539	-122.7736029                                                                                                                                    
CA	06033001200	371870262	2729814	143.58	1.054	38.8477883	-122.4648516                                                                                                                                   
CA	06033001300	315566793	2148488	121.841	0.83	38.7527302	-122.5572061                                                                                                                                   
CA	06035040100	7516768258	87782884	2902.241	33.893	40.8643392	-120.5937208                                                                                                                              
CA	06035040200	1844942083	131035475	712.336	50.593	40.5011553	-120.9674678                                                                                                                              
CA	06035040302	229751387	5255211	88.708	2.029	40.3618083	-120.6742775                                                                                                                                   
CA	06035040303	128199786	433111	49.498	0.167	40.4793843	-120.5970677                                                                                                                                    
CA	06035040304	3537578	78748	1.366	0.03	40.4067347	-120.6448997                                                                                                                                         
CA	06035040305	170656052	1444856	65.891	0.558	40.4780592	-120.6712575                                                                                                                                   
CA	06035040400	389779750	6275919	150.495	2.423	40.4420615	-120.3653805                                                                                                                                  
CA	06035040500	154771010	219551	59.757	0.085	40.276377	-120.5441538                                                                                                                                     
CA	06035040600	1323209707	230900295	510.894	89.151	40.1324038	-120.152514                                                                                                                               
CA	06037101110	1142402	0	0.441	0.	34.2594737	-118.2929869                                                                                                                                               
CA	06037101122	2644045	0	1.021	0.	34.2677213	-118.2901465                                                                                                                                               
CA	06037101210	650690	0	0.251	0.	34.2529724	-118.2907309                                                                                                                                                
CA	06037101220	698886	0	0.27	0.	34.2516083	-118.2816328                                                                                                                                                 
CA	06037101300	2581214	0	0.997	0.	34.2487734	-118.2709978                                                                                                                                               
CA	06037101400	6310056	0	2.436	0.	34.2428521	-118.2941612                                                                                                                                               
CA	06037102103	1186484	0	0.458	0.	34.2250792	-118.354188                                                                                                                                                
CA	06037102104	1658545	0	0.64	0.	34.2161873	-118.3453981                                                                                                                                                
CA	06037102105	492761	0	0.19	0.	34.209876	-118.3492653                                                                                                                                                  
CA	06037102107	12908567	13753	4.984	0.005	34.2409052	-118.3396019                                                                                                                                       
CA	06037103101	2029809	0	0.784	0.	34.2732407	-118.3078874                                                                                                                                               
CA	06037103102	1241029	0	0.479	0.	34.2633843	-118.3073883                                                                                                                                               
CA	06037103200	7414589	0	2.863	0.	34.2733525	-118.3402264                                                                                                                                               
CA	06037103300	6141955	0	2.371	0.	34.2573786	-118.3554785                                                                                                                                               
CA	06037103400	2500752	0	0.966	0.	34.2548355	-118.3139736                                                                                                                                               
